Reference, Value, Footprint, Datasheet
C1,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L1,1,5uH/5,4A,Inductors:INDUCTOR_V,
C9,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
P3,Light,Connectors_Molex:Molex_MiniFit-JR-5556-24A_2x12x4.20mm_Straight,
C2,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L2,1,5uH/5,4A,Inductors:INDUCTOR_V,
C10,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C3,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L3,1,5uH/5,4A,Inductors:INDUCTOR_V,
C11,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C4,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L4,1,5uH/5,4A,Inductors:INDUCTOR_V,
C12,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C5,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L5,1,5uH/5,4A,Inductors:INDUCTOR_V,
C13,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C6,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L6,1,5uH/5,4A,Inductors:INDUCTOR_V,
C14,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C7,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L7,1,5uH/5,4A,Inductors:INDUCTOR_V,
C15,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
C8,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
L8,1,5uH/5,4A,Inductors:INDUCTOR_V,
C16,1000uF/10V,Capacitors_ThroughHole:C_Radial_D8_L11.5_P3.5,
U1,4094,Housings_DIP:DIP-16_W7.62mm,
P1,PWR1,Connectors_Molex:Molex_MiniFit-JR-5569-08A2_2x04x4.20mm_Angled,
P2,PWR2,Connectors_Molex:Molex_MiniFit-JR-5569-08A2_2x04x4.20mm_Angled,
U2,LD1117V33,TO_SOT_Packages_THT:TO-220_Neutral123_Vertical,
C18,22uF/6,3V,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
C17,100uF/10V,Capacitors_ThroughHole:C_Radial_D5_L6_P2.5,
R1,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R2,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R3,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R5,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R7,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R8,470,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P5,PWR_OUT,suf_connector_ncw:CONN_NCW254-03S,
P4,Control,suf_connector_ncw:CONN_NCW254-04S,
P6,PWR_OUT,suf_connector_ncw:CONN_NCW254-03S,
P7,PWR_OUT,suf_connector_ncw:CONN_NCW254-03S,
P8,PWR_OUT,suf_connector_ncw:CONN_NCW254-03S,
U3,74HCT08,Housings_DIP:DIP-14_W7.62mm,
U4,74HCT08,Housings_DIP:DIP-14_W7.62mm,
C19,1uF/10V,Capacitors_ThroughHole:C_Disc_D3_P2.5,
